"Country","Sex","Age","Year","l60","LT_ID3","LT_ID2","at_risk","AgeInt","dx","qx","atRisk","n_events","events","haz","S_t","S_t_new","seS_t","seS","LT_ID","protein.kcal","abp.kcal","pbp.kcal","fat.kcal","carb.kcal","GDP","age_sex"
"ALB","Males",60,1969,0.73142,"ALB_1969_1_60","ALB_1969_1",23,5,0.0703999999999999,0.0962511279429055,23000,2213.77594268683,2213.77594268683,0.0962511279429055,0.66102,0.73142,0.00259886318730653,0.00259886318730653,"ALB_1969",275.88,73.08,202.76,437.94,1669.18,3080,"60_1"
"ALB","Males",60,1979,0.76921,"ALB_1979_1_60","ALB_1979_1",30,5,0.0857199999999999,0.111439008853239,30000,3343.17026559717,3343.17026559717,0.111439008853239,0.68349,0.76921,0.00238208589300763,0.00238208589300763,"ALB_1979",303.16,85.6,217.56,550.08,1734.76,3716,"60_1"
"ALB","Males",60,1989,0.80944,"ALB_1989_1_60","ALB_1989_1",40,5,0.07672,0.0947815773868353,40000,3791.26309547341,3791.26309547341,0.0947815773868353,0.73272,0.80944,0.00197660038402632,0.00197660038402632,"ALB_1989",308.08,87.84,220.24,550.8,1685.12,3948,"60_1"
"ALB","Males",60,2011,0.86951,"ALB_2011_1_60","ALB_2011_1",70,5,0.04582,0.0526963462179848,70000,3688.74423525894,3688.74423525894,0.0526963462179848,0.82369,0.86951,0.00152643765271168,0.00152643765271168,"ALB_2011",433.26,224.54,208.72,934.065,1747.675,9484,"60_1"
"ARE","Males",60,1998,0.80483,"ARE_1998_1_60","ARE_1998_1",14,5,0.0657000000000001,0.0816321459190141,14000,1142.8500428662,1142.8500428662,0.0816321459190141,0.73913,0.80483,0.00256497631626014,0.00256497631626014,"ARE_1998",429.04,203.2,225.84,888.39,1992.57,39668,"60_1"
"ARG","Males",60,1961,0.69189,"ARG_1961_1_60","ARG_1961_1",347,5,0.09713,0.140383586986371,347000,48713.1046842706,48713.1046842706,0.140383586986371,0.59476,0.69189,0.000789930597938307,0.000789930597938307,"ARG_1961",422.88,261.36,161.56,843.48,1651.64,9344,"60_1"
"ARG","Males",60,1970,0.69501,"ARG_1970_1_60","ARG_1970_1",425,5,0.0952000000000001,0.136976446382067,425000,58214.9897123783,58214.9897123783,0.136976446382067,0.59981,0.69501,0.000726359966320583,0.000726359966320583,"ARG_1970",423.44,269.68,153.8,999.18,1690.38,11639,"60_1"
"ARG","Males",60,1980,0.807145,"ARG_1980_1_60","ARG_1980_1",484,5,0.06296,0.0780033327345149,484000,37753.6130435052,37753.6130435052,0.0780033327345149,0.744185,0.807145,0.000591281274934713,0.000591281274934713,"ARG_1980",425.88,289.68,136.24,1050.66,1540.46,13080,"60_1"
"ARG","Males",60,1990,0.76411,"ARG_1990_1_60","ARG_1990_1",588,5,0.087,0.113857952389054,588000,66948.4760047637,66948.4760047637,0.113857952389054,0.67711,0.76411,0.000595529335981676,0.000595529335981676,"ARG_1990",367.28,234.68,132.6,896.58,1515.14,10254,"60_1"
"ARG","Males",60,1991,0.76799,"ARG_1991_1_60","ARG_1991_1",593,5,0.08617,0.112201981796638,593000,66535.7752054063,66535.7752054063,0.112201981796638,0.68182,0.76799,0.000589898851044111,0.000589898851044111,"ARG_1991",380.36,241.72,138.64,942.93,1544.71,11224,"60_1"
"ARG","Males",60,2000,0.796,"ARG_2000_1_60","ARG_2000_1",630,5,0.0803750000000001,0.100973618090452,630000,63613.379396985,63613.379396985,0.100973618090452,0.715625,0.796,0.000539365006259238,0.000539365006259238,"ARG_2000",419.16,270.92,148.24,1048.41,1682.43,14369,"60_1"
"ARG","Males",60,2009,0.82349,"ARG_2009_1_60","ARG_2009_1",774,5,0.0736800000000001,0.0894728533436958,774000,69251.9884880206,69251.9884880206,0.0894728533436958,0.74981,0.82349,0.000475179333894296,0.000475179333894296,"ARG_2009",393.48,253.32,140.16,998.37,1634.15,17329,"60_1"
"ARG","Males",60,2010,0.81936,"ARG_2010_1_60","ARG_2010_1",789,5,0.0734,0.0895821128685804,789000,70680.2870533099,70680.2870533099,0.0895821128685804,0.74596,0.81936,0.000476424244609388,0.000476424244609388,"ARG_2010",400.08,251.16,148.94,974.295,1684.125,18980,"60_1"
"AUS","Males",60,1961,0.77456,"AUS_1961_1_60","AUS_1961_1",190,5,0.09757,0.125968291675274,190000,23933.975418302,23933.975418302,0.125968291675274,0.67699,0.77456,0.00102979134855925,0.00102979134855925,"AUS_1961",419.56,271.8,147.76,1001.97,1544.47,13793,"60_1"
"AUS","Males",60,1963,0.77364,"AUS_1963_1_60","AUS_1963_1",199,5,0.09856,0.127397756062251,199000,25352.153456388,25352.153456388,0.127397756062251,0.67508,0.77364,0.00101027006104494,0.00101027006104494,"AUS_1963",436.32,282.52,153.8,1009.17,1592.51,14983,"60_1"
