"Country","Sex","Age","Year","l60","LT_ID3","LT_ID2","at_risk","AgeInt","dx","qx","atRisk","n_events","events","haz","S_t","S_t_new","seS_t","seS","LT_ID","protein.kcal","abp.kcal","pbp.kcal","fat.kcal","carb.kcal","GDP","age_sex"
"ALB","Females",60,1969,0.79409,"ALB_1969_2_60","ALB_1969_2",28,5,0.04903,0.0617436310745634,28000,1728.82167008777,1728.82167008777,0.0617436310745634,0.74506,0.79409,0.00223835890333019,0.00223835890333019,"ALB_1969",275.88,73.08,202.76,437.94,1669.18,3080,"60_2"
"ALB","Females",60,1979,0.83447,"ALB_1979_2_60","ALB_1979_2",33,5,0.04366,0.0523206346543315,33000,1726.58094359294,1726.58094359294,0.0523206346543315,0.79081,0.83447,0.00195687091621652,0.00195687091621651,"ALB_1979",303.16,85.6,217.56,550.08,1734.76,3716,"60_2"
"ALB","Females",60,1989,0.87213,"ALB_1989_2_60","ALB_1989_2",43,5,0.03725,0.0427115223647851,43000,1836.59546168576,1836.59546168576,0.0427115223647851,0.83488,0.87213,0.00160643788233977,0.00160643788233977,"ALB_1989",308.08,87.84,220.24,550.8,1685.12,3948,"60_2"
"ALB","Females",60,2011,0.92646,"ALB_2011_2_60","ALB_2011_2",68,5,0.02557,0.0275996805042851,68000,1876.77827429139,1876.77827429139,0.0275996805042851,0.90089,0.92646,0.00129062831588814,0.00129062831588814,"ALB_2011",433.26,224.54,208.72,934.065,1747.675,9484,"60_2"
"ARE","Females",60,1998,0.84579,"ARE_1998_2_60","ARE_1998_2",5,5,0.0667000000000001,0.0788611830359783,5000,394.305915179892,394.305915179892,0.0788611830359783,0.77909,0.84579,0.0043608578502841,0.0043608578502841,"ARE_1998",429.04,203.2,225.84,888.39,1992.57,39668,"60_2"
"ARG","Females",60,1961,0.78787,"ARG_1961_2_60","ARG_1961_2",336,5,0.06495,0.0824374579562618,336000,27698.985873304,27698.985873304,0.0824374579562618,0.72292,0.78787,0.000722628014322877,0.000722628014322877,"ARG_1961",422.88,261.36,161.56,843.48,1651.64,9344,"60_2"
"ARG","Females",60,1970,0.80742,"ARG_1970_2_60","ARG_1970_2",444,5,0.0546800000000001,0.067721879567016,444000,30068.5145277551,30068.5145277551,0.067721879567016,0.75274,0.80742,0.000626029201246017,0.000626029201246017,"ARG_1970",423.44,269.68,153.8,999.18,1690.38,11639,"60_2"
"ARG","Females",60,1980,0.87976,"ARG_1980_2_60","ARG_1980_2",561,5,0.033575,0.0381638174047468,561000,21409.9015640629,21409.9015640629,0.0381638174047468,0.846185,0.87976,0.000477007449533358,0.000477007449533358,"ARG_1980",425.88,289.68,136.24,1050.66,1540.46,13080,"60_2"
"ARG","Females",60,1990,0.86709,"ARG_1990_2_60","ARG_1990_2",686,5,0.04545,0.0524167041483583,686000,35957.8590457738,35957.8590457738,0.0524167041483583,0.82164,0.86709,0.000466816096740113,0.000466816096740113,"ARG_1990",367.28,234.68,132.6,896.58,1515.14,10254,"60_2"
"ARG","Females",60,1991,0.87085,"ARG_1991_2_60","ARG_1991_2",690,5,0.04438,0.0509617040822185,690000,35163.5758167308,35163.5758167308,0.0509617040822185,0.82647,0.87085,0.000459404922999424,0.000459404922999424,"ARG_1991",380.36,241.72,138.64,942.93,1544.71,11224,"60_2"
"ARG","Females",60,2000,0.887625,"ARG_2000_2_60","ARG_2000_2",712,5,0.0434549999999999,0.0489564850021123,712000,34857.0173215039,34857.0173215039,0.0489564850021123,0.84417,0.887625,0.00042027743308551,0.00042027743308551,"ARG_2000",419.16,270.92,148.24,1048.41,1682.43,14369,"60_2"
"ARG","Females",60,2009,0.89877,"ARG_2009_2_60","ARG_2009_2",867,5,0.0408999999999999,0.0455066368481368,867000,39454.2541473346,39454.2541473346,0.0455066368481368,0.85787,0.89877,0.000374692138538617,0.000374692138538617,"ARG_2009",393.48,253.32,140.16,998.37,1634.15,17329,"60_2"
